Code,State,Urban_Edu_1970,Urban_Edu_1976,Urban_Edu_1980,Urban_Edu_1984,Urban_Edu_1988,Urban_Edu_1990,Urban_Edu_1992,Urban_Edu_1996,Urban_Edu_2000,Urban_Edu_2004,Urban_Edu_2008,Urban_Edu_2012,Urban_Edu_2016,Urban_Edu_2018
33,New Hampshire,0.11,0.1556,0.186,0.2136,0.2412,0.255,0.2644,0.2832,0.302,0.32,0.338,0.356,0.374,0.383
34,New Jersey,0.118,0.157,0.183,0.2094,0.2358,0.249,0.2588,0.2784,0.298,0.318222222,0.338444444,0.358666667,0.378888889,0.389
35,New Mexico,0.15,0.1824,0.204,0.2184,0.2328,0.24,0.246,0.258,0.27,0.278222222,0.286444444,0.294666667,0.302888889,0.307
36,New York,0.122,0.1592,0.184,0.206,0.228,0.239,0.2476,0.2648,0.282,0.301555556,0.321111111,0.340666667,0.360222222,0.37
37,North Carolina,0.096,0.1278,0.149,0.1678,0.1866,0.196,0.2074,0.2302,0.253,0.271666667,0.290333333,0.309,0.327666667,0.337
38,North Dakota,0.13,0.1768,0.208,0.2228,0.2376,0.245,0.2524,0.2672,0.282,0.299111111,0.316222222,0.333333333,0.350444444,0.359
39,Ohio,0.101,0.1292,0.148,0.1636,0.1792,0.187,0.1962,0.2146,0.233,0.249222222,0.265444444,0.281666667,0.297888889,0.306
40,Oklahoma,0.115,0.1486,0.171,0.1826,0.1942,0.2,0.2054,0.2162,0.227,0.238777778,0.250555556,0.262333333,0.274111111,0.28
41,Oregon,0.128,0.1676,0.194,0.2056,0.2172,0.223,0.2328,0.2524,0.272,0.290444444,0.308888889,0.327333333,0.345777778,0.355
42,Pennsylvania,0.092,0.1226,0.143,0.1618,0.1806,0.19,0.1994,0.2182,0.237,0.256555556,0.276111111,0.295666667,0.315222222,0.325
44,Rhode Island,0.094,0.13,0.154,0.1776,0.2012,0.213,0.2216,0.2388,0.256,0.273111111,0.290222222,0.307333333,0.324444444,0.333
45,South Carolina,0.096,0.1242,0.143,0.1574,0.1718,0.179,0.187,0.203,0.219,0.235222222,0.251444444,0.267666667,0.283888889,0.292
46,South Dakota,0.095,0.1328,0.158,0.1736,0.1892,0.197,0.2066,0.2258,0.245,0.261,0.277,0.293,0.309,0.317
47,Tennessee,0.091,0.1228,0.144,0.1596,0.1752,0.183,0.1912,0.2076,0.224,0.240888889,0.257777778,0.274666667,0.291555556,0.3
48,Texas,0.119,0.158,0.184,0.1984,0.2128,0.22,0.2258,0.2374,0.249,0.262333333,0.275666667,0.289,0.302333333,0.309
49,Utah,0.146,0.1826,0.207,0.2166,0.2262,0.231,0.2384,0.2532,0.268,0.284,0.3,0.316,0.332,0.34
50,Vermont,0.144,0.1902,0.221,0.2486,0.2762,0.29,0.3016,0.3248,0.348,0.368444444,0.388888889,0.409333333,0.429777778,0.44
51,Virginia,0.142,0.187,0.217,0.2398,0.2626,0.274,0.2844,0.3052,0.326,0.345333333,0.364666667,0.384,0.403333333,0.413
53,Washington,0.131,0.1694,0.195,0.2118,0.2286,0.237,0.247,0.267,0.287,0.304111111,0.321222222,0.338333333,0.355444444,0.364
54,West Virginia,0.077,0.1022,0.119,0.1286,0.1382,0.143,0.1486,0.1598,0.171,0.183888889,0.196777778,0.209666667,0.222555556,0.229
55,Wisconsin,0.109,0.142,0.164,0.1776,0.1912,0.198,0.2084,0.2292,0.25,0.266888889,0.283777778,0.300666667,0.317555556,0.326
56,Wyoming,0.132,0.165,0.187,0.1942,0.2014,0.205,0.2078,0.2134,0.219,0.227888889,0.236777778,0.245666667,0.254555556,0.259
